OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
318,19731,3504,3579,DIXIE HWY, ,DIXIE,HWY, ,BACHMANN,DR, ,MARY CATHERINE,DR,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,231.759649542905
319,15937,999,900,E JEFFERSON ST,E,JEFFERSON,ST,S,CAMPBELL,ST,S,WENZEL,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.05,43,056-CS-1014B -000,E Jefferson St,Baxter Ave (US 31E),0,S 1st St (CS-1002F),1.05,2331,2220,6,5.71428571,1.05,1,METRO,585.070105306514
320,18314,2445,2499,BARDSTOWN RD, ,BARDSTOWN,RD, ,WEBER,AVE, ,TAYLORSVILLE,RD,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,647.218414342641
321,28787,7100,7599,GREENBELT HWY, ,GREENBELT,HWY, ,INTERMODAL,DR, ,DISTRIBUTION,DR,LOUISVILLE,12,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,2422.39484181962
322,11584,7300,7399,BARDSTOWN RD, ,BARDSTOWN,RD, ,I 265 RAMP, , ,I 265 RAMP, ,LOUISVILLE,22,STATE,MAJOR ARTERIAL,US-31E,1.652,7,056-US-0031E -000,Bardstown Rd,Captain Place,3.909,Beulah Church Rd / Seatonville Rd (KY 1065),5.561,6005,3634.98789346,16,9.68523002,0,0,KYTC,363.936825327667
323,10840,5400,5899,SHEPHERDSVILLE RD, ,SHEPHERDSVILLE,RD, ,RURAL,WAY, ,RANGELAND,RD,LOUISVILLE,2,STATE,MINOR ARTERIAL,KY-2052,2.908,39,056-KY-2052  -000,Shepherdsville Rd,Fern Valley Rd (KY 1747),1.214,Hikes Lane (KY 2052),4.122,6742,2318.43191197,20,6.87757909,2.908,1,KYTC,2531.33718419193
324,8428,1450,1524,S HURSTBOURNE PKY,S,HURSTBOURNE,PKY, ,I 64 RAMP, , ,I 64 RAMP, ,JEFFERSONTOWN,18,STATE,MAJOR ARTERIAL,KY-1747,1.476,19,056-KY-1747  -000,S Hurstbourne Pkwy,Taylorsville Rd (KY 155),10.991,Linn Station Rd (CS-1004H),12.467,4274,2895.66395664,7,4.74254743,0,0,KYTC,548.13792472268
325,17830,1616,1699,DIXIE HWY, ,DIXIE,HWY,W,LEE,ST,W,LEE,ST,LOUISVILLE,6,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,86.8781395714293
326,9347,4025,4049,SHELBYVILLE RD, ,SHELBYVILLE,RD,N,SHERRIN,AVE,S,SHERRIN,AVE,ST MATTHEWS,9,STATE,MAJOR ARTERIAL,US-60,0.638,6,056-US-0060  -000,Shelbyville Rd,Lexington Rd (US 60A),3.482,Thierman Ln (CS-1098B),4.12,2413,3782.13166144,7,10.97178683,0,0,KYTC,283.158233747276
327,19631,3300,3399,DIXIE HWY, ,DIXIE,HWY, ,APPLETON,LN, ,OLENDA,AVE,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,627.920648400019
