X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
1218326.5,251027.15625,878,MPW007188,SIG007188,GRADE,PRESTON,S,KY-61,7.358,GRADE @ PRESTON,24 HOURS,KYTC,1, 1824225945144,
1225301.375,251025.40625,879,MPW008187,SIG008187,POPLAR LEVEL,POPLAR PLACE,S,KY-864,10.08,POPLAR LEVEL @ POPLAR PLACE,24 HOURS,KYTC,1, 182435123D568,
1225945.0,250576.375,880,MPW008306,SIG008306,POPLAR LEVEL,PRODUCE,S,KY-864,9.87,POPLAR LEVEL @ PRODUCE,24 HOURS,KYTC,1,2,
1204341.375,250098.375,881,MPW005130,SIG005130,3RD,TENNY,S,KY-1020,7.47,3RD @ TENNY,24 HOURS,KYTC,1, 1831164386602,
1228807.5,246193.0625,882,MPW008752,SIG008752,POPLAR LEVEL,RANGELAND,S,KY-864,8.88,POPLAR LEVEL @ RANGELAND,24 HOURS,KYTC,1,2,
1223738.23375,243941.786249995,883,MPW018010,SIG018010,FOREST,PRESTON,S,KY-61,5.67,FOREST @ PRESTON,24 HOURS,KYTC,1, 1878522725144,
1201152.0,230028.5625,884,MPW004441,SIG004441,NEW CUT,KY-841 RAMP,S,KY-1865,0.67,NEW CUT @ KY-841 RAMP,24 HOURS,KYTC,1,196184553E918,
1204740.28125,252638.006249994,885,MPW005221,SIG005221,3RD,WELLINGTON,M,,,3RD @ WELLINGTON,24 HOURS,METRO,1, 2013864387102,
1206353.87375,239301.375,886,MPW005569,SIG005569,ENTERPRISE,NATIONAL,S,KY-1020,5.18,ENTERPRISE @ NATIONAL,24 HOURS,KYTC,1, 2036919554535,
1229707.4525,256401.677499995,887,MPW008888,SIG008888,BASHFORD MANOR,NEWBURG,S,KY-1703,1.55,BASHFORD MANOR @ NEWBURG,24 HOURS,KYTC,1, 2042604044552,
1209072.375,255293.40625,888,MPW005953,SIG005953,CRITTENDEN,I 264 RAMP,S,KY-1631,0.2,CRITTENDEN @ I 264 RAMP,24 HOURS,KYTC,1, 2101313429995,
1167772.5,231976.8125,889,MPW000102,SIG000102,TRADE PORT,GREENBELT,S,KY-1934,2.88,TRADE PORT @ GREENBELT,24 HOURS,KYTC,1, 2219120128324,
1181737.25,229022.516249999,890,MPW001450,SIG001450,STONESTREET,VALLEY COLLEGE,M,,,STONESTREET @ VALLEY COLLEGE,24 HOURS,METRO,1, 2230561798401,
1182503.75,225107.71875,891,MPW001513,SIG001513,3RD STREET,VALLEY STATION,S,KY-907,1.44,3RD STREET @ VALLEY STATION,24 HOURS,KYTC,1, 2247064406826,
